고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
32705,1,1032,신길,DAY,DOWN,0,K697,1900-01-01 21:02:00,21:02:30,광운대,천안
32826,1,1032,신길,DAY,DOWN,1,K1181,1900-01-01 21:02:00,21:02:30,용산,동인천
33480,1,1032,신길,END,DOWN,1,K1137,1900-01-01 21:02:00,21:02:30,용산,동인천
34089,1,1032,신길,SAT,DOWN,1,K1137,1900-01-01 21:02:00,21:02:30,용산,동인천
49774,1,1716,병점,END,DOWN,0,K707,1900-01-01 21:02:00,21:03:00,광운대,천안
50044,1,1716,병점,SAT,DOWN,0,K707,1900-01-01 21:02:00,21:03:00,광운대,천안
60999,1,1804,부천,DAY,DOWN,1,K1177,1900-01-01 21:02:00,21:02:30,용산,동인천
82094,1,1904,망월사,DAY,DOWN,0,S211,1900-01-01 21:02:00,21:02:30,양주,인천
4369,1,153,종로3가,DAY,DOWN,0,K699,1900-01-01 21:02:30,21:03:00,청량리,신창
4852,1,153,종로3가,END,DOWN,0,K715,1900-01-01 21:02:30,21:03:00,청량리,신창
5314,1,153,종로3가,SAT,DOWN,0,K715,1900-01-01 21:02:30,21:03:00,청량리,신창
35232,1,1404,탕정,END,DOWN,1,K1949,1900-01-01 21:02:30,21:03:00,청량리,신창
35303,1,1404,탕정,SAT,DOWN,1,K1949,1900-01-01 21:02:30,21:03:00,청량리,신창
40050,1,1704,석수,DAY,DOWN,0,K695,1900-01-01 21:02:30,21:03:00,광운대,신창
52422,1,1721,송탄,END,DOWN,0,K705,1900-01-01 21:02:30,21:03:00,광운대,신창
52582,1,1721,송탄,SAT,DOWN,0,K705,1900-01-01 21:02:30,21:03:00,광운대,신창
58536,1,1802,오류동,DAY,DOWN,0,K195,1900-01-01 21:02:30,21:03:00,동두천,인천
65623,1,1808,동암,DAY,DOWN,1,K1175,1900-01-01 21:02:30,21:03:00,용산,동인천
68894,1,1811,동인천,DAY,DOWN,0,K187,1900-01-01 21:02:30,21:03:00,소요산,인천
8994,1,156,신설동,END,DOWN,0,K495,1900-01-01 21:03:00,21:03:30,광운대,병점
9436,1,156,신설동,SAT,DOWN,0,K495,1900-01-01 21:03:00,21:03:30,광운대,병점
